sumo,form
2624.722222222222,2624.722222222222
4039.819905750912,4039.819905750912
3565.742794534422,3565.742794534422
2624.722222222222,2624.722222222222
5232.329262292059,5232.329262292059
3329.7118399280153,3329.7118399280153
2624.722222222222,2624.722222222222
5778.67817553531,5778.67817553531
4177.159503894869,4177.159503894869
2955.048592448157,2955.048592448157
2624.722222222222,2624.722222222222
7046.638228435575,7046.638228435575
6073.936609609667,6073.936609609667
3267.699875017904,3267.699875017904
3876.657011384078,3876.657011384078
2624.722222222222,2624.722222222222
10083.524853619943,10083.524853619943
5832.9538644333825,5832.9538644333825
3775.1374376392905,3775.1374376392905
4381.133343332737,4381.133343332737
3271.812494333127,3271.812494333127
2624.722222222222,2624.722222222222
7031.949310766151,7031.949310766151
7019.816585264627,7019.816585264627
6545.037488111304,6545.037488111304
4191.163413637519,4191.163413637519
5021.27936543825,5021.27936543825
3906.7730488888883,3906.7730488888883
2624.722222222222,2624.722222222222
6184.718073764538,6184.718073764538
6014.989693876957,6014.989693876957
5398.244053620763,5398.244053620763
7493.293106642257,7493.293106642257
5676.656428139016,5676.656428139016
0.0,0
3467.4993392730353,3467.4993392730353
2624.722222222222,2624.722222222222
0.0,0
2624.722222222222,2624.722222222222
5339.0295934330625,5339.0295934330625
5624.938321663986,5624.938321663986
4246.190282733132,4246.190282733132
7068.94755629614,7068.94755629614
2472.500266725671,2472.500266725671
4262.0809330934235,4262.0809330934235
3340.1716435421627,3340.1716435421627
0.0,0
3579.9641583757084,3579.9641583757084
2624.722222222222,2624.722222222222
3457.2970714203116,3457.2970714203116
6773.933182256742,6773.933182256742
9981.343518040576,9981.343518040576
6398.346154726491,6398.346154726491
4491.215496954956,4491.215496954956
4711.251216764394,4711.251216764394
3418.6665640007877,3418.6665640007877
4815.842157858435,4815.842157858435
3898.5318263843387,3898.5318263843387
2983.7771631554156,2983.7771631554156
2624.722222222222,2624.722222222222
3136.577602452244,3136.577602452244
10729.318935315026,10729.318935315026
8150.760332062235,8150.760332062235
0.0,0
4102.516573981072,4102.516573981072
5285.259037119311,5285.259037119311
0.0,0
0.0,0
4946.875770788399,4946.875770788399
0.0,0
3890.5518489314068,3890.5518489314068
2624.722222222222,2624.722222222222
0.0,0
9376.433200765354,9376.433200765354
8376.766953312352,8376.766953312352
0.0,0
5818.260663022033,5818.260663022033
5262.9277425192,5262.9277425192
